Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Choline,D002794,62-49-7,COVID-19,MESH:D000086382,marker/mechanism,AGT|BCL11A|BTK|CCL2|CCL3|CCR2|CSF3|ICAM5|IL10|IL10RB|IL1B|IL2|IL6|IL7|LZTFL1|MUC1|PLSCR1|SELE|TMPRSS2|TMPRSS4|TNF,20.36,15
perfluorobutyric acid,C033094,375-22-4,COVID-19,MESH:D000086382,marker/mechanism,CXCL8|IL1B|IL6|TNF,11.19,6
Zinc,D015032,7440-66-6,COVID-19,MESH:D000086382,marker/mechanism|therapeutic,AGT|BSG|CCL2|CCL3|CRP|CSF3|CXCL10|CXCL8|IFNAR2|IL10|IL1B|IL2|IL2RA|IL6|MUC1|TMEM106B|TNF|UGCG,19.31,13
Active Hexose Correlated Compound,C499366,,COVID-19,MESH:D000086382,therapeutic,CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF,30.34,6
Losartan,D019808,114798-26-4,COVID-19,MESH:D000086382,therapeutic,ACE2|AGT|CCL2|CCL3|CCR2|CXCL8|IL10|IL1B|IL6|TNF,26.61,22
Ribavirin,D012254,36791-04-5,COVID-19,MESH:D000086382,therapeutic,CCL2|CCL3|IL10|IL1B|IL2|IL6|OAS1|TNF,23.52,12
Melatonin,D008550,73-31-4,COVID-19,MESH:D000086382,therapeutic,ACE2|AGT|CCL2|CRP|CXCL10|IL10|IL1B|IL2|IL6|IL7|TNF,23.10,23
Chloroquine,D002738,54-05-7,COVID-19,MESH:D000086382,therapeutic,ACE2|CCL2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|MUC1|TNF,22.54,26
Lopinavir,D061466,,COVID-19,MESH:D000086382,therapeutic,CCL2|CCL3|IL1B|IL6|TNF,21.76,9
Hydroxychloroquine,D006886,118-42-3,COVID-19,MESH:D000086382,therapeutic,CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF,21.51,10
Sirolimus,D020123,53123-88-9,COVID-19,MESH:D000086382,therapeutic,ACE2|AGT|BTK|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TNF,21.22,23
