Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
CCL2,6347,COVID-19,MESH:D000086382,marker/mechanism,Active Hexose Correlated Compound|Azithromycin|baricitinib|camostat|Chloroquine|Choline|Dactinomycin|Hydroxychloroquine|Ivermectin|Lopinavir|lopinavir-ritonavir drug combination|Losartan|Melatonin|Nifedipine|Ribavirin|Ritonavir|Zinc|Zinc Sulfate,32.97,37
IL6,3569,COVID-19,MESH:D000086382,marker/mechanism,acalabrutinib|Active Hexose Correlated Compound|apilimod|Azithromycin|Betulinic Acid|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Lopinavir|lopinavir-ritonavir drug combination|Losartan|Melatonin|perfluorobutyric acid|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,29.57,39
CXCL8,3576,COVID-19,MESH:D000086382,marker/mechanism,Active Hexose Correlated Compound|apilimod|Azithromycin|Chloroquine|chloroquine diphosphate|Dactinomycin|Hydroxychloroquine|Ivermectin|lopinavir-ritonavir drug combination|Losartan|Nifedipine|perfluorobutyric acid|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,29.37,33
TNF,7124,COVID-19,MESH:D000086382,marker/mechanism,Active Hexose Correlated Compound|apilimod|Azithromycin|Betulinic Acid|camostat|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Lopinavir|Losartan|Melatonin|Nifedipine|perfluorobutyric acid|Ribavirin|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,26.46,35
IL1B,3553,COVID-19,MESH:D000086382,marker/mechanism,Active Hexose Correlated Compound|Azithromycin|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Lopinavir|Losartan|Melatonin|Nifedipine|perfluorobutyric acid|Ribavirin|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,25.67,33
IL10,3586,COVID-19,MESH:D000086382,marker/mechanism,Active Hexose Correlated Compound|apilimod|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Ribavirin|Sirolimus|Zinc,23.65,28
IL2,3558,COVID-19,MESH:D000086382,marker/mechanism,Active Hexose Correlated Compound|Chloroquine|Choline|Dactinomycin|Melatonin|Ribavirin|Sirolimus|Zinc|Zinc Sulfate,17.71,19
AGT,183,COVID-19,MESH:D000086382,marker/mechanism,Choline|Dactinomycin|Emodin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Sirolimus|Zinc,16.50,8
CCL3,6348,COVID-19,MESH:D000086382,marker/mechanism,Choline|Ivermectin|Lopinavir|Losartan|Ribavirin|Ritonavir|Zinc,14.13,16
CXCL10,3627,COVID-19,MESH:D000086382,marker/mechanism,Chloroquine|Hydroxychloroquine|Melatonin|Ritonavir|Sirolimus|Zinc,11.31,16
