Phenotype Term Name,Phenotype Term ID,Disease Name,Disease ID,Chemical Inference Network,Gene Inference Network,References
cell population proliferation,GO:0008283,COVID-19,MESH:D000086382,Azithromycin|Betulinic Acid|camostat|cepharanthine|Chloroquine|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Lopinavir|lopinavir-ritonavir drug combination|Losartan|Melatonin|Mercaptopurine|Nifedipine|remdesivir|Ribavirin|Ritonavir|Sirolimus|Toremifene|Zinc|Zinc Sulfate,AGT|TYK2,194
apoptotic process,GO:0006915,COVID-19,MESH:D000086382,Acetazolamide|Azithromycin|Betulinic Acid|cepharanthine|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Losartan|Melatonin|Mercaptopurine|Nifedipine|remdesivir|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate,BTK|IL1B|IL2RA|PLSCR1,341
viral life cycle,GO:0019058,COVID-19,MESH:D000086382,(2-tert-butoxy-1-(2-cyclohexyl-1-(1-formyl-2-(2-oxopyrrolidin-3-yl)ethylcarbamoyl)ethylcarbamoyl)propyl)carbamic acid benzyl ester|apilimod|Azithromycin|camostat|cepharanthine|Chloroquine|chloroquine diphosphate|galidesivir|Hydroxychloroquine|Lopinavir|lopinavir-ritonavir drug combination|Mefloquine|N(4)-hydroxycytidine|plitidepsin|remdesivir|Ribavirin|Ritonavir|selamectin|umifenovir,ACE2,73
cellular metabolic process,GO:0044237,COVID-19,MESH:D000086382,Acetazolamide|Azithromycin|Betulinic Acid|cannabidiolic acid|Chloroquine|chloroquine diphosphate|Dactinomycin|Emodin|Losartan|Melatonin|Mercaptopurine|plitidepsin|remdesivir|Ribavirin|Sirolimus|Zinc|Zinc Sulfate,,105
cell death,GO:0008219,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Dactinomycin|Ivermectin|Losartan|Mefloquine|Melatonin|Mercaptopurine|nafamostat|Nifedipine|remdesivir|Ribavirin|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate,,126
positive regulation of reactive oxygen species biosynthetic process,GO:1903428,COVID-19,MESH:D000086382,apilimod|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Lopinavir|Melatonin|Nifedipine|perfluorobutyric acid|Ribavirin|Ritonavir|Sirolimus|Zinc,,58
response to oxidative stress,GO:0006979,COVID-19,MESH:D000086382,"Azithromycin|Chloroquine|Heparin, Low-Molecular-Weight|Losartan|Mefloquine|Melatonin|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate",,68
positive regulation of cell population proliferation,GO:0008284,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Betulinic Acid|Chloroquine|Emodin|Hydroxychloroquine|Interferon-alpha|Ivermectin|Melatonin|perfluorobutyric acid|Sirolimus|Zinc,ABO|AGT|CSF3|CXCL10|HCK|IL1B|IL2|IL6|IL7|TNF,52
negative regulation of cell population proliferation,GO:0008285,COVID-19,MESH:D000086382,apilimod|Betulinic Acid|Chloroquine|Dactinomycin|Hydroxychloroquine|Ivermectin|Melatonin|Nifedipine|Ribavirin|selamectin|Sirolimus,AGT|CXCL8|IL10|IL1B|IL6|TNF,62
positive regulation of apoptotic process,GO:0043065,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Melatonin|selamectin|Sirolimus|Zinc,IL1B|IL6|PLSCR1|TNF,64
